Query ID,Query,Category,Subcategory,Jenjang,Cabang,P@1,P@3,P@5,R@1,R@3,R@5,Sangat Relevan,Cukup Relevan,Tidak Relevan,Time (s),Error
Q-A15,Total  masuk sma Al Azhar padang 32 tahun 2026 berapa?,biaya_sekolah,total_biaya_masuk,SD,Al Azhar padang,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.1955,
Q-B01,Berapa biaya formulir pendaftaran SD Al Azhar 27 Cibinong?,biaya_formulir,biaya_formulir,SD,Al Azhar 27 Cibinong,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,3,0,0,0.2420,
Q-B02,Biaya pendaftaran SD Al Azhar Kebayoran Baru tahun 2026 berapa?,biaya_formulir,biaya_pendaftaran,SD,Al Azhar Kebayoran Baru,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,3,0,0,0.1951,
Q-B03,Apakah pendaftaran TK Al Azhar 17 Bintaro dikenakan biaya?,biaya_formulir,ada_biaya,TK,Al Azhar 17 Bintaro,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,2,1,0,0.2045,
Q-B04,Berapa biaya pendaftaran siswa baru SD Al Azhar Bandung?,biaya_formulir,biaya_pendaftaran,SD,Al Azhar Bandung,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,2,1,0,0.1761,
Q-B05,Biaya administrasi pendaftaran TK Al Azhar Pasar Minggu berapa?,biaya_formulir,biaya_administrasi,TK,Al Azhar Pasar Minggu,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,2,1,0,0.1953,
Q-B06,Apakah formulir pendaftaran Al Azhar gratis?,biaya_formulir,gratis_berbayar,Umum,Umum,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.2140,
Q-B07,Berapa biaya daftar ulang SD Al Azhar?,biaya_formulir,biaya_daftar_ulang,SD,Umum,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.1975,
Q-B08,Biaya pendaftaran online Al Azhar berapa?,biaya_formulir,biaya_online,Umum,Umum,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.2219,
Q-B09,Rincian biaya pendaftaran,rincian,rincian_biaya_pendaftaran,sd,sd,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.2262,
Q-C01,Apa saja dokumen yang dibutuhkan?,syarat_pendaftaran,dokumen_persyaratan,SD,Umum,1.0000,0.6667,0.4000,0.5000,1.0000,1.0000,0,2,1,0.2446,
Q-D01,Berapa uang pangkal SD Al Azhar 27 Cibinong?,uang_pangkal,nominal_pangkal,SD,Al Azhar 27 Cibinong,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.3883,
Q-D02,Uang pangkal SD Al Azhar Kebayoran Baru tahun 2026 berapa?,uang_pangkal,nominal_pangkal,SD,Al Azhar Kebayoran Baru,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.1923,
Q-D03,Apakah TK Al Azhar 17 Bintaro memiliki uang pangkal?,uang_pangkal,ada_pangkal,TK,Al Azhar 17 Bintaro,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.2224,
Q-D04,Berapa uang pangkal masuk TK Al Azhar Pasar Minggu?,uang_pangkal,nominal_pangkal,TK,Al Azhar Pasar Minggu,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,2,1,0,0.2036,
Q-D05,Uang pangkal SD Al Azhar Bandung berapa?,uang_pangkal,nominal_pangkal,SD,Al Azhar Bandung,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.2074,
Q-D06,Rincian uang pangkal TK Al Azhar Sidoarjo?,uang_pangkal,rincian_pangkal,TK,Al Azhar Sidoarjo,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.2404,
Q-D07,Apakah uang pangkal bisa dicicil di Al Azhar?,uang_pangkal,sistem_bayar,Umum,Umum,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.2068,
Q-D08,Berapa biaya uang gedung SD Al Azhar?,uang_pangkal,uang_gedung,SD,Umum,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.4222,
Q-D09,Uang pangkal SMP Al Azhar tahun ajaran 2026?,uang_pangkal,nominal_pangkal,SMP,Umum,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.1939,
Q-D10,Apakah uang pangkal berbeda tiap cabang Al Azhar?,uang_pangkal,perbedaan_cabang,Umum,Umum,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.2235,
Q-D11,Sistem pembayaran uang pangkal Al Azhar bagaimana?,uang_pangkal,sistem_bayar,Umum,Umum,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.2183,
Q-D12,Uang pangkal TK Al Azhar Sentra Primer berapa?,uang_pangkal,nominal_pangkal,TK,Al Azhar Sentra Primer,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.2206,
Q-D13,Apakah uang pangkal sudah termasuk fasilitas sekolah?,uang_pangkal,inklusif_fasilitas,Umum,Umum,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.2593,
Q-D14,Biaya awal masuk SD Al Azhar terdiri dari apa saja?,uang_pangkal,komponen_biaya_awal,SD,Umum,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,1,2,0,0.2162,
Q-D15,Total uang pangkal dan biaya masuk SD Al Azhar berapa?,uang_pangkal,total_biaya_awal,SD,Umum,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.1938,
