Query ID,Query,Category,Jenjang,Cabang,Chunk-1,Chunk-2,Chunk-3,Chunk-4,Chunk-5,P@3,R@3
Q-D06,Rincian uang pangkal TK Al Azhar Sidoarjo?,uang_pangkal,TK,Al Azhar Sidoarjo,1,1,1,,,100.00%,100.00%
Q-D07,Apakah uang pangkal bisa dicicil di Al Azhar?,uang_pangkal,Umum,Umum,1,1,1,,,100.00%,100.00%
Q-D08,Berapa biaya uang gedung SD Al Azhar?,uang_pangkal,SD,Umum,1,1,1,,,100.00%,100.00%
Q-D09,Uang pangkal SMP Al Azhar tahun ajaran 2026?,uang_pangkal,SMP,Umum,1,1,1,,,100.00%,100.00%
Q-D10,Apakah uang pangkal berbeda tiap cabang Al Azhar?,uang_pangkal,Umum,Umum,1,1,1,,,100.00%,100.00%
Q-D11,Sistem pembayaran uang pangkal Al Azhar bagaimana?,uang_pangkal,Umum,Umum,1,1,1,,,100.00%,100.00%
Q-D12,Uang pangkal TK Al Azhar Sentra Primer berapa?,uang_pangkal,TK,Al Azhar Sentra Primer,1,1,1,,,100.00%,100.00%
Q-D13,Apakah uang pangkal sudah termasuk fasilitas sekolah?,uang_pangkal,Umum,Umum,1,1,1,,,100.00%,100.00%
Q-D14,Biaya awal masuk SD Al Azhar terdiri dari apa saja?,uang_pangkal,SD,Umum,2,1,1,,,100.00%,100.00%
Q-D15,Total uang pangkal dan biaya masuk SD Al Azhar berapa?,uang_pangkal,SD,Umum,1,1,1,,,100.00%,100.00%
